Solução Original: [21, 4, 44, 33, 6, 18, 25, 42, 37, 28, 38, 35, 20, 30, 0, 34, 32, 47, 17, 11, 16, 48, 15, 24, 46, 10, 2, 1, 49, 7, 9, 41, 3, 13, 14, 29, 19, 5, 31, 36, 23, 8, 22, 39, 40, 12, 26, 43, 45, 27, 21]
Distância Original: 4601km

Hill Climbing	Simulated Annealing

2554				1340
2086				1525
2108				1314
2292				1260
1887				1346
2530				1222
2118				1284
2117				1467
2451				1448
2268				1262
2007				1474
2653				1337
1950				1293
2001				1291
1593				1315
2231				1344
2148				1481
2235				1325
2089				1593
2340				1073
2384				1361
2445				1291
1869				1109
2323				1435
2227				1342
2181				1287
2053				1205
2057				1591
2070				1292
2155				1326
2196				1431
2541				1295
1808				1380
1721				1360
1659				1514
2412				1294
2004				1500
1905				1337
2414				1205
1678				1371
1864				1355
2153				1353
2001				1459
1906				1568
1958				1317
1810				1334
2118				1485
1862				1292
2373				1377
2002				1329
2233				1306
2121				1366
2473				1312
1944				1301
2470				1320
2386				1252
2059				1354
2199				1458
1712				1298
2351				1415
1771				1238
2506				1379
2019				1179
2152				1184
1659				1267
2187				1421
1764				1404
2169				1457
1819				1296
2103				1289
2338				1364
1932				1490
1962				1431
2339				1366
2084				1395
2469				1224
2396				1446
2843				1439
2505				1422
1708				1140
2348				1359
1794				1349
2189				1615
2337				1121
2300				1498
1997				1217
1786				1327
2057				1338
2267				1379
2348				1330
2592				1239
2174				1434
2492				1294
2381				1428
2374				1294
1921				1428
2602				1449
2337				1257
1913				1456
2513				1295
1690				1398
2029				1414
2171				1607
1691				1510
2263				1402
1898				1423
1645				1239
2134				1229
1819				1309
2393				1246
1880				1203
2142				1191
2011				1139
2098				1307
2400				1307
2194				1365
2163				1384
1921				1339
1937				1285
2141				1229
1782				1331
2394				1348
1939				1553
2545				1388
2157				1430
1659				1586
2134				1376
2078				1510
2160				1413
1761				1268
2030				1596
2330				1745
2058				1279
1914				1465
1773				1468
2109				1365
2138				1538
2764				1436
2054				1488
1867				1191
2313				1459
2383				1396
1922				1199
2298				1257
2075				1424
2221				1423
1865				1262
1967				1242
2149				1321
2576				1363
2343				1411
2257				1405
2044				1319
1999				1133
2532				1287
2196				1674
2083				1425
1701				1198
2035				1268
2344				1521
2331				1242
2209				1361
2202				1083
2200				1421
1848				1412
2055				1133
1593				1274
2182				1399
2259				1236
2472				1228
2512				1523

Melhor solução Hill Climbing: [21, 32, 44, 33, 12, 18, 25, 6, 37, 28, 42, 35, 14, 39, 0, 34, 4, 43, 7, 15, 8, 1, 20, 24, 2, 10, 46, 26, 22, 3, 9, 41, 17, 31, 49, 29, 19, 5, 13, 36, 23, 16, 11, 30, 40, 45, 38, 27, 47, 48, 21]
Menor distância Hill Climbing: 1496

Melhor solução Simulated Annealing: [21, 32, 44, 0, 6, 48, 25, 16, 1, 27, 38, 35, 12, 8, 31, 34, 4, 43, 17, 10, 20, 18, 5, 23, 14, 15, 13, 29, 49, 7, 9, 47, 3, 2, 19, 11, 46, 26, 22, 36, 24, 40, 42, 30, 37, 45, 39, 41, 33, 28, 21]
Menor distância Simulated Annealing: 1024
